site_id,start_time,end_time,spin,cluster_id
0,4.90483,0.242045,1,-1
0,0.242045,0.471568,-1,-1
0,0.471568,0.542679,1,-1
0,0.542679,0.686122,-1,-1
0,0.686122,0.897478,1,-1
0,0.897478,1.48583,-1,-1
0,1.48583,1.94012,1,-1
0,1.94012,1.99534,-1,-1
0,1.99534,2.06626,1,-1
0,2.06626,2.12697,-1,-1
0,2.12697,2.16825,1,-1
0,2.16825,2.47719,-1,-1
0,2.47719,2.61565,1,-1
0,2.61565,3.26811,-1,-1
0,3.26811,3.30002,1,-1
0,3.30002,3.61545,-1,-1
0,3.61545,3.98021,1,-1
0,3.98021,4.13539,-1,-1
0,4.13539,4.87409,1,-1
0,4.87409,4.90483,-1,-1
1,2.19768,2.2933,1,-1
1,2.2933,2.52813,-1,-1
1,2.52813,2.63,1,-1
1,2.63,3.07433,-1,-1
1,3.07433,3.35272,1,-1
1,3.35272,3.37702,-1,-1
1,3.37702,3.40145,1,-1
1,3.40145,3.46276,-1,-1
1,3.46276,3.48146,1,-1
1,3.48146,3.57399,-1,-1
1,3.57399,3.62787,1,-1
1,3.62787,3.8077,-1,-1
1,3.8077,4.63732,1,-1
1,4.63732,4.70298,-1,-1
1,4.70298,4.93532,1,-1
1,4.93532,0.407474,-1,-1
1,0.407474,0.451924,1,-1
1,0.451924,0.570349,-1,-1
1,0.570349,0.754051,1,-1
1,0.754051,1.22994,-1,-1
1,1.22994,1.31194,1,-1
1,1.31194,1.37573,-1,-1
1,1.37573,1.39913,1,-1
1,1.39913,1.59853,-1,-1
1,1.59853,1.81458,1,-1
1,1.81458,2.19768,-1,-1
2,0.180178,0.33565,-1,-1
2,0.33565,0.694012,1,-1
2,0.694012,0.745912,-1,-1
2,0.745912,0.869706,1,-1
2,0.869706,1.4744,-1,-1
2,1.4744,1.80372,1,-1
2,1.80372,1.98874,-1,-1
2,1.98874,2.1252,1,-1
2,2.1252,2.57672,-1,-1
2,2.57672,2.6675,1,-1
2,2.6675,2.70871,-1,-1
2,2.70871,2.78386,1,-1
2,2.78386,2.82472,-1,-1
2,2.82472,3.10251,1,-1
2,3.10251,3.83607,-1,-1
2,3.83607,3.8808,1,-1
2,3.8808,3.89611,-1,-1
2,3.89611,3.98123,1,-1
2,3.98123,4.18881,-1,-1
2,4.18881,4.40162,1,-1
2,4.40162,4.4921,-1,-1
2,4.4921,4.59513,1,-1
2,4.59513,4.61797,-1,-1
2,4.61797,0.180178,1,-1
3,2.66112,2.85683,-1,-1
3,2.85683,3.25417,1,-1
3,3.25417,3.90792,-1,-1
3,3.90792,4.01372,1,-1
3,4.01372,4.24959,-1,-1
3,4.24959,4.54231,1,-1
3,4.54231,4.64319,-1,-1
3,4.64319,4.82232,1,-1
3,4.82232,4.88348,-1,-1
3,4.88348,0.20108,1,-1
3,0.20108,0.242564,-1,-1
3,0.242564,0.252929,1,-1
3,0.252929,0.387672,-1,-1
3,0.387672,0.463551,1,-1
3,0.463551,0.764768,-1,-1
3,0.764768,0.829857,1,-1
3,0.829857,1.40384,-1,-1
3,1.40384,1.75114,1,-1
3,1.75114,1.79175,-1,-1
3,1.79175,2.00875,1,-1
3,2.00875,2.06019,-1,-1
3,2.06019,2.10908,1,-1
3,2.10908,2.28857,-1,-1
3,2.28857,2.54454,1,-1
3,2.54454,2.59621,-1,-1
3,2.59621,2.61448,1,-1
